File,Type,Size(Bytes),LastModified,Source
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/ns/const-oid,data,12962,2025-12-15 12:58:21.948000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/ns/const-random-macro,data,7531,2025-12-15 12:58:22.128000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/re/core-foundation,data,20343,2025-11-26 18:52:39.543759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/re/core-foundation-sys,data,8101,2025-11-26 18:52:39.547759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/re/core-graphics,data,32628,2025-12-15 12:57:55.972000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/re/core-graphics-types,data,3009,2025-12-15 12:58:21.676000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/lo/colorchoice,data,956,2025-11-26 18:52:40.967759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/lo/colored,data,19084,2025-12-15 12:55:37.564000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/nt/content_inspector,data,1433,2025-11-26 18:52:40.971759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/mp/compact_str,data,36182,2025-12-15 12:57:56.048000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/mb/combine,data,134013,2025-12-15 12:58:21.708000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/nc/concurrent-queue,data,10784,2025-12-15 12:58:21.936000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/nv/convert_case,data,6313,2025-12-15 12:58:29.816000455 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/al/dialoguer,data,13402,2025-11-25 01:29:17.291673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/rs/dirs,data,9082,2025-11-25 01:29:17.291673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/rs/dirs-sys,data,9016,2025-11-26 18:52:38.731759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/ff/diff,data,5616,2025-11-26 18:52:39.411759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/ff/difflib,data,816,2025-12-15 13:18:55.036000528 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/ge/digest,data,36503,2025-11-26 18:52:39.427759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/ss/dissimilar,data,2157,2025-11-26 18:52:39.491759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/di/sp/displaydoc,data,13630,2025-11-26 18:52:39.559759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/du/nc/dunce,data,1261,2025-11-25 01:29:17.291673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/t-/fat-macho,data,5852,2025-11-25 01:29:17.295673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/st/fastrand,data,20965,2025-11-26 18:52:39.427759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/st/fastrace,data,58505,2025-12-15 12:55:09.392000443 -0500,proot_home
